"","Total_Electric_Vehicles","Total_Charging_Stations","CS_to_EV_Ratio_Percent","Does_CS_Exist","Zip_Code","City","County","fips","state"
"244",6,0,0,FALSE,98542,"Ethel","Lewis",53041,"WA"
"245",48,0,0,FALSE,98546,"Grapeview","Mason",53045,"WA"
"246",8,0,0,FALSE,98547,"Grayland","Grays Harbor",53027,"WA"
"247",30,0,0,FALSE,98548,"Hoodsport","Mason",53045,"WA"
"248",47,0,0,FALSE,98550,"Hoquiam","Grays Harbor",53027,"WA"
"249",6,0,0,FALSE,98555,"Lilliwaup","Mason",53045,"WA"
"250",21,0,0,FALSE,98557,"Mc cleary","Grays Harbor",53027,"WA"
"251",1,0,0,FALSE,98560,"Matlock","Mason",53045,"WA"
"252",3,2,66.67,TRUE,98562,"Moclips","Grays Harbor",53027,"WA"
"253",60,0,0,FALSE,98563,"Montesano","Grays Harbor",53027,"WA"
"254",19,1,5.26,TRUE,98564,"Mossyrock","Lewis",53041,"WA"
"255",14,0,0,FALSE,98568,"Oakville","Grays Harbor",53027,"WA"
"256",95,2,2.11,TRUE,98569,"Ocean city","Grays Harbor",53027,"WA"
"257",16,0,0,FALSE,98570,"Onalaska","Lewis",53041,"WA"
"258",17,1,5.88,TRUE,98571,"Pacific beach","Grays Harbor",53027,"WA"
"259",1,0,0,FALSE,98572,"Pe ell","Lewis",53041,"WA"
"260",1,1,100,TRUE,98575,"Quinault","Grays Harbor",53027,"WA"
"261",42,0,0,FALSE,98576,"Rainier","Thurston",53067,"WA"
"262",31,0,0,FALSE,98577,"Raymond","Pacific",53049,"WA"
"263",90,2,2.22,TRUE,98579,"Rochester","Thurston",53067,"WA"
"264",93,0,0,FALSE,98580,"Roy","Pierce",53053,"WA"
"265",1,0,0,FALSE,98581,"Ryderwood","Cowlitz",53015,"WA"
"266",4,0,0,FALSE,98582,"Salkum","Lewis",53041,"WA"
"267",286,5,1.75,TRUE,98584,"Shelton","Mason",53045,"WA"
"268",8,0,0,FALSE,98585,"Silver creek","Lewis",53041,"WA"
"269",3,0,0,FALSE,98586,"South bend","Pacific",53049,"WA"
"270",3,0,0,FALSE,98587,"Taholah","Grays Harbor",53027,"WA"
"271",16,0,0,FALSE,98588,"Tahuya","Mason",53045,"WA"
"272",65,0,0,FALSE,98589,"Tenino","Thurston",53067,"WA"
"273",6,1,16.67,TRUE,98590,"Tokeland","Pacific",53049,"WA"
"274",28,0,0,FALSE,98591,"Toledo","Lewis",53041,"WA"
"275",34,1,2.94,TRUE,98592,"Union","Mason",53045,"WA"
"276",4,0,0,FALSE,98593,"Vader","Lewis",53041,"WA"
"277",17,1,5.88,TRUE,98595,"Westport","Grays Harbor",53027,"WA"
"278",44,0,0,FALSE,98596,"Winlock","Lewis",53041,"WA"
"279",189,1,0.53,TRUE,98597,"Yelm","Thurston",53067,"WA"
"280",18,0,0,FALSE,98601,"Amboy","Clark",53011,"WA"
"281",12,0,0,FALSE,98603,"Ariel","Cowlitz",53015,"WA"
"282",396,0,0,FALSE,98604,"Battle ground","Clark",53011,"WA"
"283",3,1,33.33,TRUE,98605,"Cook","Klickitat",53039,"WA"
"284",213,0,0,FALSE,98606,"Brush prairie","Clark",53011,"WA"
"285",1111,3,0.27,TRUE,98607,"Camas","Clark",53011,"WA"
"286",14,1,7.14,TRUE,98610,"Carson","Skamania",53059,"WA"
"287",57,1,1.75,TRUE,98611,"Castle rock","Cowlitz",53015,"WA"
